id,word,points
1,able,4
2,acer,4
3,acid,4
4,acne,4
5,acre,4
6,acts,4
7,adam,4
8,adds,4
9,adsl,4
10,aged,4
11,ages,4
12,aids,4
13,aims,4
14,alan,4
15,alex,4
16,alot,4
17,also,4
18,alto,4
19,anal,4
20,andy,4
21,anna,4
22,anne,4
23,anti,4
24,apps,4
25,aqua,4
26,arab,4
27,arch,4
28,area,4
29,arms,4
30,army,4
31,arts,4
32,asia,4
33,asin,4
34,asks,4
35,asus,4
36,atom,4
37,audi,4
38,auto,4
39,avon,4
40,away,4
41,axis,4
42,babe,4
43,baby,4
44,back,4
45,bags,4
46,bald,4
47,bali,4
48,ball,4
49,band,4
50,bang,4
51,bank,4
52,bare,4
53,barn,4
54,bars,4
55,base,4
56,bass,4
57,bath,4
58,bdsm,4
59,beam,4
60,bean,4
61,bear,4
62,beat,4
63,beds,4
64,beef,4
65,been,4
66,beer,4
67,bell,4
68,belt,4
69,bend,4
70,benz,4
71,best,4
72,beta,4
73,beth,4
74,bias,4
75,bids,4
76,bike,4
77,bill,4
78,bind,4
79,biol,4
80,bios,4
81,bird,4
82,bite,4
83,bits,4
84,blah,4
85,blog,4
86,blow,4
87,blue,4
88,blvd,4
89,boat,4
90,body,4
91,bold,4
92,bolt,4
93,bomb,4
94,bond,4
95,bone,4
96,boob,4
97,book,4
98,bool,4
99,boom,4
100,boot,4
101,born,4
102,boss,4
103,both,4
104,bowl,4
105,boys,4
106,brad,4
107,bras,4
108,bros,4
109,buck,4
110,bugs,4
111,bulk,4
112,bull,4
113,burn,4
114,bush,4
115,busy,4
116,butt,4
117,buys,4
118,buzz,4
119,byte,4
120,cafe,4
121,cage,4
122,cake,4
123,call,4
124,calm,4
125,came,4
126,camp,4
127,cams,4
128,cant,4
129,cape,4
130,caps,4
131,carb,4
132,card,4
133,care,4
134,carl,4
135,cars,4
136,cart,4
137,casa,4
138,case,4
139,cash,4
140,cast,4
141,cats,4
142,cave,4
143,cdna,4
144,cell,4
145,cent,4
146,cest,4
147,chad,4
148,chan,4
149,char,4
150,chat,4
151,chef,4
152,chem,4
153,chen,4
154,chip,4
155,ciao,4
156,cite,4
157,city,4
158,clan,4
159,clay,4
160,clip,4
161,club,4
162,cnet,4
163,coal,4
164,coat,4
165,cock,4
166,code,4
167,coin,4
168,cold,4
169,cole,4
170,come,4
171,comm,4
172,comp,4
173,conf,4
174,cons,4
175,cook,4
176,cool,4
177,cope,4
178,copy,4
179,cord,4
180,core,4
181,cork,4
182,corn,4
183,corp,4
184,cost,4
185,cove,4
186,crap,4
187,crew,4
188,crop,4
189,cruz,4
190,cuba,4
191,cube,4
192,cult,4
193,cunt,4
194,cups,4
195,cure,4
196,cute,4
197,cuts,4
198,dale,4
199,dame,4
200,damn,4
201,dana,4
202,dans,4
203,dare,4
204,dark,4
205,dash,4
206,data,4
207,date,4
208,dave,4
209,dawn,4
210,days,4
211,dead,4
212,deaf,4
213,deal,4
214,dean,4
215,dear,4
216,debt,4
217,deck,4
218,deep,4
219,deer,4
220,dell,4
221,demo,4
222,deny,4
223,dept,4
224,desk,4
225,dial,4
226,dice,4
227,dick,4
228,died,4
229,dies,4
230,diet,4
231,diff,4
232,dirt,4
233,disc,4
234,dish,4
235,disk,4
236,dist,4
237,dive,4
238,divx,4
239,dock,4
240,docs,4
241,does,4
242,dogs,4
243,doll,4
244,dome,4
245,done,4
246,dont,4
247,doom,4
248,door,4
249,dose,4
250,doug,4
251,down,4
252,drag,4
253,draw,4
254,drew,4
255,drop,4
256,drug,4
257,drum,4
258,dual,4
259,duck,4
260,dude,4
261,duke,4
262,dumb,4
263,dump,4
264,dust,4
265,duty,4
266,dvds,4
267,each,4
268,earl,4
269,earn,4
270,ears,4
271,ease,4
272,east,4
273,easy,4
274,ebay,4
275,echo,4
276,eden,4
277,edge,4
278,edit,4
279,eggs,4
280,else,4
281,emma,4
282,ends,4
283,epic,4
284,eric,4
285,erik,4
286,espn,4
287,euro,4
288,eval,4
289,even,4
290,ever,4
291,evil,4
292,exam,4
293,exec,4
294,exit,4
295,expo,4
296,eyed,4
297,eyes,4
298,face,4
299,fact,4
300,fail,4
301,fair,4
302,fake,4
303,fall,4
304,fame,4
305,fans,4
306,faqs,4
307,fare,4
308,farm,4
309,fast,4
310,fate,4
311,fear,4
312,feat,4
313,feed,4
314,feel,4
315,fees,4
316,feet,4
317,fell,4
318,felt,4
319,feof,4
320,fiji,4
321,file,4
322,fill,4
323,film,4
324,find,4
325,fine,4
326,fire,4
327,firm,4
328,fish,4
329,fist,4
330,fits,4
331,five,4
332,flag,4
333,flat,4
334,flex,4
335,flip,4
336,flow,4
337,flux,4
338,foam,4
339,fold,4
340,folk,4
341,font,4
342,food,4
343,fool,4
344,foot,4
345,ford,4
346,fork,4
347,form,4
348,fort,4
349,foto,4
350,foul,4
351,four,4
352,fred,4
353,free,4
354,frog,4
355,from,4
356,fuck,4
357,fuel,4
358,fuji,4
359,full,4
360,fund,4
361,funk,4
362,gage,4
363,gain,4
364,gale,4
365,game,4
366,gang,4
367,gaps,4
368,gary,4
369,gate,4
370,gave,4
371,gays,4
372,gear,4
373,geek,4
374,gene,4
375,gets,4
376,gift,4
377,girl,4
378,give,4
379,glad,4
380,glen,4
381,glow,4
382,gmbh,4
383,goal,4
384,goat,4
385,gods,4
386,goes,4
387,gold,4
388,golf,4
389,gone,4
390,good,4
391,gore,4
392,goto,4
393,govt,4
394,grab,4
395,grad,4
396,gras,4
397,gray,4
398,greg,4
399,grew,4
400,grey,4
401,grid,4
402,grip,4
403,grow,4
404,guam,4
405,gulf,4
406,guns,4
407,guru,4
408,guys,4
409,gzip,4
410,hack,4
411,hair,4
412,half,4
413,hall,4
414,halo,4
415,hand,4
416,hang,4
417,hans,4
418,hard,4
419,harm,4
420,hart,4
421,hash,4
422,hate,4
423,hats,4
424,have,4
425,hawk,4
426,hdtv,4
427,head,4
428,hear,4
429,heat,4
430,heel,4
431,held,4
432,hell,4
433,help,4
434,herb,4
435,here,4
436,hero,4
437,hide,4
438,high,4
439,hill,4
440,hint,4
441,hire,4
442,hist,4
443,hits,4
444,hold,4
445,hole,4
446,holy,4
447,home,4
448,hong,4
449,hood,4
450,hook,4
451,hope,4
452,horn,4
453,hose,4
454,host,4
455,hour,4
456,href,4
457,html,4
458,http,4
459,huge,4
460,hugh,4
461,hugo,4
462,hull,4
463,hung,4
464,hunt,4
465,hurt,4
466,icon,4
467,idea,4
468,idle,4
469,idol,4
470,ieee,4
471,inch,4
472,incl,4
473,info,4
474,inns,4
475,intl,4
476,into,4
477,iowa,4
478,ipaq,4
479,ipod,4
480,iran,4
481,iraq,4
482,iron,4
483,isbn,4
484,isle,4
485,issn,4
486,item,4
487,itsa,4
488,jack,4
489,jade,4
490,jail,4
491,jake,4
492,jane,4
493,java,4
494,jazz,4
495,jean,4
496,jeep,4
497,jeff,4
498,jets,4
499,jews,4
500,jill,4
501,joan,4
502,jobs,4
503,joel,4
504,john,4
505,join,4
506,joke,4
507,jose,4
508,josh,4
509,jpeg,4
510,juan,4
511,judy,4
512,july,4
513,jump,4
514,june,4
515,junk,4
516,jury,4
517,just,4
518,karl,4
519,kate,4
520,keen,4
521,keep,4
522,keno,4
523,kent,4
524,kept,4
525,keys,4
526,kick,4
527,kids,4
528,kill,4
529,kind,4
530,king,4
531,kirk,4
532,kiss,4
533,kits,4
534,knee,4
535,knew,4
536,knit,4
537,know,4
538,kong,4
539,kurt,4
540,kyle,4
541,labs,4
542,lace,4
543,lack,4
544,lady,4
545,laid,4
546,lake,4
547,lamb,4
548,lamp,4
549,land,4
550,lane,4
551,lang,4
552,last,4
553,late,4
554,lawn,4
555,laws,4
556,lazy,4
557,lead,4
558,leaf,4
559,lean,4
560,left,4
561,legs,4
562,lens,4
563,leon,4
564,less,4
565,lets,4
566,levy,4
567,libs,4
568,lies,4
569,life,4
570,lift,4
571,like,4
572,lime,4
573,line,4
574,link,4
575,lion,4
576,lips,4
577,lisa,4
578,list,4
579,lite,4
580,live,4
581,load,4
582,loan,4
583,lock,4
584,logo,4
585,logs,4
586,lone,4
587,long,4
588,look,4
589,loop,4
590,lord,4
591,lose,4
592,loss,4
593,lost,4
594,lots,4
595,loud,4
596,love,4
597,lows,4
598,luck,4
599,lucy,4
600,luis,4
601,luke,4
602,lung,4
603,lynn,4
604,made,4
605,mail,4
606,main,4
607,make,4
608,male,4
609,mali,4
610,mall,4
611,many,4
612,maps,4
613,marc,4
614,mark,4
615,mars,4
616,mart,4
617,mary,4
618,mask,4
619,mass,4
620,mate,4
621,math,4
622,mats,4
623,matt,4
624,maui,4
625,meal,4
626,mean,4
627,meat,4
628,meet,4
629,mega,4
630,memo,4
631,mens,4
632,ment,4
633,menu,4
634,mere,4
635,mesa,4
636,mesh,4
637,mess,4
638,meta,4
639,mice,4
640,midi,4
641,mike,4
642,mild,4
643,mile,4
644,milf,4
645,milk,4
646,mill,4
647,mime,4
648,mind,4
649,mine,4
650,mini,4
651,mins,4
652,mint,4
653,misc,4
654,miss,4
655,mode,4
656,mods,4
657,mold,4
658,moms,4
659,mono,4
660,mood,4
661,moon,4
662,more,4
663,moss,4
664,most,4
665,move,4
666,mpeg,4
667,mrna,4
668,msie,4
669,much,4
670,must,4
671,muze,4
672,myth,4
673,nail,4
674,name,4
675,nano,4
676,nasa,4
677,nato,4
678,navy,4
679,ncaa,4
680,near,4
681,neck,4
682,need,4
683,neil,4
684,neon,4
685,nest,4
686,news,4
687,next,4
688,nice,4
689,nick,4
690,nike,4
691,nine,4
692,node,4
693,none,4
694,noon,4
695,norm,4
696,nose,4
697,note,4
698,nova,4
699,ntsc,4
700,nude,4
701,nuke,4
702,null,4
703,nuts,4
704,oaks,4
705,oclc,4
706,odds,4
707,oecd,4
708,ohio,4
709,oils,4
710,okay,4
711,oman,4
712,once,4
713,ones,4
714,only,4
715,onto,4
716,oops,4
717,open,4
718,oral,4
719,orgy,4
720,ours,4
721,oval,4
722,oven,4
723,over,4
724,owen,4
725,owns,4
726,pace,4
727,pack,4
728,pads,4
729,page,4
730,paid,4
731,pain,4
732,pair,4
733,pale,4
734,palm,4
735,para,4
736,park,4
737,part,4
738,paso,4
739,pass,4
740,past,4
741,path,4
742,paul,4
743,pays,4
744,pdas,4
745,peak,4
746,peas,4
747,peer,4
748,penn,4
749,pens,4
750,perl,4
751,peru,4
752,pest,4
753,pete,4
754,pets,4
755,phil,4
756,phys,4
757,pick,4
758,pics,4
759,pike,4
760,pill,4
761,pine,4
762,ping,4
763,pink,4
764,pins,4
765,pipe,4
766,piss,4
767,plan,4
768,play,4
769,plot,4
770,plug,4
771,plus,4
772,pmid,4
773,poem,4
774,poet,4
775,pole,4
776,poll,4
777,polo,4
778,poly,4
779,pond,4
780,pool,4
781,poor,4
782,pope,4
783,pork,4
784,porn,4
785,port,4
786,pose,4
787,post,4
788,pour,4
789,pray,4
790,prep,4
791,prev,4
792,prix,4
793,proc,4
794,prof,4
795,pros,4
796,prot,4
797,pubs,4
798,pull,4
799,pump,4
800,punk,4
801,pure,4
802,push,4
803,puts,4
804,quad,4
805,quit,4
806,quiz,4
807,race,4
808,rack,4
809,rage,4
810,raid,4
811,rail,4
812,rain,4
813,rand,4
814,rank,4
815,rape,4
816,rare,4
817,rate,4
818,rats,4
819,rays,4
820,read,4
821,real,4
822,rear,4
823,reed,4
824,reef,4
825,reel,4
826,reid,4
827,rely,4
828,reno,4
829,rent,4
830,rest,4
831,rica,4
832,rice,4
833,rich,4
834,rick,4
835,rico,4
836,ride,4
837,ring,4
838,ripe,4
839,rise,4
840,risk,4
841,road,4
842,rock,4
843,role,4
844,roll,4
845,rome,4
846,roof,4
847,room,4
848,root,4
849,rope,4
850,rosa,4
851,rose,4
852,ross,4
853,rows,4
854,ruby,4
855,rugs,4
856,rule,4
857,runs,4
858,rush,4
859,ruth,4
860,ryan,4
861,safe,4
862,sage,4
863,said,4
864,sail,4
865,sake,4
866,sale,4
867,salt,4
868,same,4
869,sand,4
870,sans,4
871,sara,4
872,save,4
873,says,4
874,scan,4
875,scsi,4
876,seal,4
877,sean,4
878,seas,4
879,seat,4
880,seed,4
881,seek,4
882,seem,4
883,seen,4
884,sees,4
885,sega,4
886,self,4
887,sell,4
888,semi,4
889,send,4
890,sent,4
891,sept,4
892,sets,4
893,sexo,4
894,sexy,4
895,shaw,4
896,shed,4
897,ship,4
898,shit,4
899,shoe,4
900,shop,4
901,shot,4
902,show,4
903,shut,4
904,sick,4
905,side,4
906,sign,4
907,silk,4
908,sims,4
909,sing,4
910,sink,4
911,site,4
912,size,4
913,skin,4
914,skip,4
915,slim,4
916,slip,4
917,slot,4
918,slow,4
919,slut,4
920,smtp,4
921,snap,4
922,snow,4
923,soap,4
924,sofa,4
925,soft,4
926,soil,4
927,sold,4
928,sole,4
929,solo,4
930,soma,4
931,some,4
932,song,4
933,sons,4
934,sony,4
935,soon,4
936,sort,4
937,soul,4
938,soup,4
939,spam,4
940,span,4
941,spas,4
942,spec,4
943,spin,4
944,spot,4
945,stan,4
946,star,4
947,stat,4
948,stay,4
949,stem,4
950,step,4
951,stop,4
952,stud,4
953,such,4
954,suck,4
955,suit,4
956,sure,4
957,surf,4
958,suse,4
959,swap,4
960,swim,4
961,sync,4
962,tabs,4
963,tags,4
964,tail,4
965,take,4
966,tale,4
967,talk,4
968,tall,4
969,tank,4
970,tape,4
971,task,4
972,taxi,4
973,team,4
974,tear,4
975,tech,4
976,teen,4
977,tell,4
978,temp,4
979,tend,4
980,tent,4
981,term,4
982,test,4
983,text,4
984,thai,4
985,than,4
986,that,4
987,thee,4
988,them,4
989,then,4
990,they,4
991,thin,4
992,this,4
993,thou,4
994,thru,4
995,thus,4
996,tide,4
997,tied,4
998,tier,4
999,ties,4
1000,tile,4
1001,till,4
1002,time,4
1003,tiny,4
1004,tion,4
1005,tips,4
1006,tire,4
1007,tits,4
1008,todd,4
1009,told,4
1010,toll,4
1011,tone,4
1012,tons,4
1013,tony,4
1014,took,4
1015,tool,4
1016,tops,4
1017,tour,4
1018,town,4
1019,toys,4
1020,trap,4
1021,tray,4
1022,tree,4
1023,trek,4
1024,treo,4
1025,trim,4
1026,trio,4
1027,trip,4
1028,troy,4
1029,TRUE,4
1030,tube,4
1031,tune,4
1032,turn,4
1033,twin,4
1034,type,4
1035,ugly,4
1036,undo,4
1037,unit,4
1038,univ,4
1039,unix,4
1040,unto,4
1041,upon,4
1042,urge,4
1043,urls,4
1044,usda,4
1045,used,4
1046,user,4
1047,uses,4
1048,usgs,4
1049,usps,4
1050,utah,4
1051,vary,4
1052,vast,4
1053,very,4
1054,vice,4
1055,vids,4
1056,view,4
1057,viii,4
1058,visa,4
1059,void,4
1060,voip,4
1061,volt,4
1062,vote,4
1063,wage,4
1064,wait,4
1065,wake,4
1066,walk,4
1067,wall,4
1068,walt,4
1069,wang,4
1070,want,4
1071,ward,4
1072,ware,4
1073,warm,4
1074,wars,4
1075,wash,4
1076,watt,4
1077,wave,4
1078,ways,4
1079,weak,4
1080,wear,4
1081,weed,4
1082,week,4
1083,well,4
1084,went,4
1085,were,4
1086,west,4
1087,what,4
1088,when,4
1089,whom,4
1090,wide,4
1091,wife,4
1092,wifi,4
1093,wiki,4
1094,wild,4
1095,will,4
1096,wind,4
1097,wine,4
1098,wing,4
1099,wins,4
1100,wire,4
1101,wise,4
1102,wish,4
1103,with,4
1104,wolf,4
1105,wood,4
1106,wool,4
1107,word,4
1108,work,4
1109,worm,4
1110,worn,4
1111,wrap,4
1112,xbox,4
1113,xnxx,4
1114,yale,4
1115,yang,4
1116,yard,4
1117,yarn,4
1118,yeah,4
1119,year,4
1120,yoga,4
1121,york,4
1122,your,4
1123,zero,4
1124,zinc,4
1125,zone,4
1126,zoom,4
1127,zope,4
1128,aaron,5
1129,about,5
1130,above,5
1131,abuse,5
1132,acids,5
1133,acres,5
1134,actor,5
1135,acute,5
1136,adams,5
1137,added,5
1138,admin,5
1139,admit,5
1140,adobe,5
1141,adopt,5
1142,adult,5
1143,after,5
1144,again,5
1145,agent,5
1146,aging,5
1147,agree,5
1148,ahead,5
1149,aimed,5
1150,alarm,5
1151,album,5
1152,alert,5
1153,alias,5
1154,alice,5
1155,alien,5
1156,align,5
1157,alike,5
1158,alive,5
1159,allah,5
1160,allan,5
1161,allen,5
1162,allow,5
1163,alloy,5
1164,alone,5
1165,along,5
1166,alpha,5
1167,alter,5
1168,amber,5
1169,amend,5
1170,amino,5
1171,among,5
1172,angel,5
1173,anger,5
1174,angle,5
1175,angry,5
1176,anime,5
1177,annex,5
1178,annie,5
1179,apart,5
1180,apnic,5
1181,apple,5
1182,apply,5
1183,april,5
1184,areas,5
1185,arena,5
1186,argue,5
1187,arise,5
1188,armed,5
1189,armor,5
1190,array,5
1191,arrow,5
1192,aruba,5
1193,ascii,5
1194,asian,5
1195,aside,5
1196,asked,5
1197,asset,5
1198,atlas,5
1199,audio,5
1200,audit,5
1201,autos,5
1202,avoid,5
1203,award,5
1204,aware,5
1205,awful,5
1206,babes,5
1207,bacon,5
1208,badge,5
1209,badly,5
1210,baker,5
1211,balls,5
1212,bands,5
1213,banks,5
1214,barry,5
1215,based,5
1216,bases,5
1217,basic,5
1218,basin,5
1219,basis,5
1220,batch,5
1221,baths,5
1222,beach,5
1223,beads,5
1224,beans,5
1225,bears,5
1226,beast,5
1227,beats,5
1228,began,5
1229,begin,5
1230,begun,5
1231,being,5
1232,belle,5
1233,belly,5
1234,below,5
1235,belts,5
1236,bench,5
1237,berry,5
1238,betty,5
1239,bible,5
1240,bikes,5
1241,bills,5
1242,billy,5
1243,bingo,5
1244,birds,5
1245,birth,5
1246,bitch,5
1247,black,5
1248,blade,5
1249,blair,5
1250,blake,5
1251,blame,5
1252,blank,5
1253,blast,5
1254,blend,5
1255,bless,5
1256,blind,5
1257,blink,5
1258,block,5
1259,blogs,5
1260,blond,5
1261,blood,5
1262,bloom,5
1263,blues,5
1264,board,5
1265,boats,5
1266,bobby,5
1267,bonds,5
1268,bones,5
1269,bonus,5
1270,boobs,5
1271,books,5
1272,boost,5
1273,booth,5
1274,boots,5
1275,booty,5
1276,bored,5
1277,bound,5
1278,boxed,5
1279,boxes,5
1280,brain,5
1281,brake,5
1282,brand,5
1283,brass,5
1284,brave,5
1285,bread,5
1286,break,5
1287,breed,5
1288,brian,5
1289,brick,5
1290,bride,5
1291,brief,5
1292,bring,5
1293,broad,5
1294,broke,5
1295,brook,5
1296,brown,5
1297,bruce,5
1298,brush,5
1299,bryan,5
1300,bucks,5
1301,buddy,5
1302,build,5
1303,built,5
1304,bunch,5
1305,bunny,5
1306,burke,5
1307,burns,5
1308,burst,5
1309,buses,5
1310,busty,5
1311,butts,5
1312,buyer,5
1313,bytes,5
1314,cabin,5
1315,cable,5
1316,cache,5
1317,cakes,5
1318,calif,5
1319,calls,5
1320,camel,5
1321,camps,5
1322,canal,5
1323,candy,5
1324,canon,5
1325,cards,5
1326,carey,5
1327,cargo,5
1328,carlo,5
1329,carol,5
1330,carry,5
1331,cases,5
1332,casey,5
1333,casio,5
1334,catch,5
1335,cause,5
1336,cedar,5
1337,cells,5
1338,cents,5
1339,chain,5
1340,chair,5
1341,chaos,5
1342,charm,5
1343,chart,5
1344,chase,5
1345,cheap,5
1346,cheat,5
1347,check,5
1348,chess,5
1349,chest,5
1350,chevy,5
1351,chick,5
1352,chief,5
1353,child,5
1354,chile,5
1355,china,5
1356,chips,5
1357,choir,5
1358,chose,5
1359,chris,5
1360,chuck,5
1361,cindy,5
1362,cisco,5
1363,cited,5
1364,civic,5
1365,civil,5
1366,claim,5
1367,clara,5
1368,clark,5
1369,class,5
1370,clean,5
1371,clear,5
1372,clerk,5
1373,click,5
1374,cliff,5
1375,climb,5
1376,clips,5
1377,clock,5
1378,clone,5
1379,close,5
1380,cloth,5
1381,cloud,5
1382,clubs,5
1383,coach,5
1384,coast,5
1385,cocks,5
1386,codes,5
1387,cohen,5
1388,coins,5
1389,colin,5
1390,colon,5
1391,color,5
1392,combo,5
1393,comes,5
1394,comic,5
1395,condo,5
1396,congo,5
1397,const,5
1398,coral,5
1399,corps,5
1400,costa,5
1401,costs,5
1402,could,5
1403,count,5
1404,court,5
1405,cover,5
1406,crack,5
1407,craft,5
1408,craig,5
1409,craps,5
1410,crash,5
1411,crazy,5
1412,cream,5
1413,creek,5
1414,crest,5
1415,crime,5
1416,crops,5
1417,cross,5
1418,crowd,5
1419,crown,5
1420,crude,5
1421,cubic,5
1422,curve,5
1423,cyber,5
1424,cycle,5
1425,czech,5
1426,daddy,5
1427,daily,5
1428,dairy,5
1429,daisy,5
1430,dance,5
1431,danny,5
1432,dated,5
1433,dates,5
1434,david,5
1435,davis,5
1436,deals,5
1437,dealt,5
1438,death,5
1439,debug,5
1440,debut,5
1441,decor,5
1442,delay,5
1443,delhi,5
1444,delta,5
1445,dense,5
1446,depot,5
1447,depth,5
1448,derby,5
1449,derek,5
1450,devel,5
1451,devil,5
1452,devon,5
1453,diana,5
1454,diane,5
1455,diary,5
1456,dicke,5
1457,dicks,5
1458,diego,5
1459,diffs,5
1460,digit,5
1461,dildo,5
